time,inflow_rate
0,2.0
1,2.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,2.0
9,2.0
10,2.0
11,2.0
12,2.0
13,2.0
14,2.0
15,2.0
16,2.0
17,2.0
18,2.0
19,2.0
20,2.0
21,2.0
22,2.0
23,2.0
24,2.0
25,2.0
26,2.0
27,2.0
28,2.0
29,2.0
30,2.0
31,2.0
32,2.0
33,2.0
34,2.0
35,2.0
36,2.0
37,2.0
38,2.0
39,2.0
40,2.0
41,2.0
42,2.0
43,2.0
44,2.0
45,2.0
46,2.0
47,2.0
48,2.0
49,2.0
50,2.0
51,2.0
52,2.0
53,2.0
54,2.0
55,2.0
56,2.0
57,2.0
58,2.0
59,2.0
60,3.5
61,3.5
62,3.5
63,3.5
64,3.5
65,3.5
66,3.5
67,3.5
68,3.5
69,3.5
70,3.5
71,3.5
72,3.5
73,3.5
74,3.5
75,3.5
76,3.5
77,3.5
78,3.5
79,3.5
80,3.5
81,3.5
82,3.5
83,3.5
84,3.5
85,3.5
86,3.5
87,3.5
88,3.5
89,3.5
90,3.5
91,3.5
92,3.5
93,3.5
94,3.5
95,3.5
96,3.5
97,3.5
98,3.5
99,3.5
100,3.5
101,3.5
102,3.5
103,3.5
104,3.5
105,3.5
106,3.5
107,3.5
108,3.5
109,3.5
110,3.5
111,3.5
112,3.5
113,3.5
114,3.5
115,3.5
116,3.5
117,3.5
118,3.5
119,3.5
120,3.5
121,3.5
122,3.5
123,3.5
124,3.5
125,3.5
126,3.5
127,3.5
128,3.5
129,3.5
130,3.5
131,3.5
132,3.5
133,3.5
134,3.5
135,3.5
136,3.5
137,3.5
138,3.5
139,3.5
140,3.5
141,3.5
142,3.5
143,3.5
144,3.5
145,3.5
146,3.5
147,3.5
148,3.5
149,3.5
150,1.5
151,1.5
152,1.5
153,1.5
154,1.5
155,1.5
156,1.5
157,1.5
158,1.5
159,1.5
160,1.5
161,1.5
162,1.5
163,1.5
164,1.5
165,1.5
166,1.5
167,1.5
168,1.5
169,1.5
170,1.5
171,1.5
172,1.5
173,1.5
174,1.5
175,1.5
176,1.5
177,1.5
178,1.5
179,1.5
180,1.5
181,1.5
182,1.5
183,1.5
184,1.5
185,1.5
186,1.5
187,1.5
188,1.5
189,1.5
190,1.5
191,1.5
192,1.5
193,1.5
194,1.5
195,1.5
196,1.5
197,1.5
198,1.5
199,1.5
200,1.5
201,1.5
202,1.5
203,1.5
204,1.5
205,1.5
206,1.5
207,1.5
208,1.5
209,1.5
210,1.5
211,1.5
212,1.5
213,1.5
214,1.5
215,1.5
216,1.5
217,1.5
218,1.5
219,1.5
220,1.5
221,1.5
222,1.5
223,1.5
224,1.5
225,1.5
226,1.5
227,1.5
228,1.5
229,1.5
230,2.5
231,2.5
232,2.5
233,2.5
234,2.5
235,2.5
236,2.5
237,2.5
238,2.5
239,2.5
240,2.5
241,2.5
242,2.5
243,2.5
244,2.5
245,2.5
246,2.5
247,2.5
248,2.5
249,2.5
250,2.5
251,2.5
252,2.5
253,2.5
254,2.5
255,2.5
256,2.5
257,2.5
258,2.5
259,2.5
260,2.5
261,2.5
262,2.5
263,2.5
264,2.5
265,2.5
266,2.5
267,2.5
268,2.5
269,2.5
270,2.5
271,2.5
272,2.5
273,2.5
274,2.5
275,2.5
276,2.5
277,2.5
278,2.5
279,2.5
280,2.5
281,2.5
282,2.5
283,2.5
284,2.5
285,2.5
286,2.5
287,2.5
288,2.5
289,2.5
290,2.5
291,2.5
292,2.5
293,2.5
294,2.5
295,2.5
296,2.5
297,2.5
298,2.5
299,2.5
300,2.5
